"SITE_ID","SITE_NUM","SITE_NAME","STATE","COUNTY","LATITUDE","LONGITUDE","UPDATE_DATE"
"STK138","138.0","Stockton","IL","Jo Daviess","42.287216","-89.99995","01/30/2020 13:25:29"
"SUM156","156.0","Sumatra","FL","Liberty","30.110226","-84.99038","01/30/2020 13:25:29"
"SUM256","256.0","Sumatra Collocated","FL","Liberty","30.110226","-84.99038","01/30/2020 13:25:29"
"THR422","422.0","Theodore Roosevelt NP","ND","Billings","46.894844","-103.377719","01/30/2020 13:25:29"
"UIN162","162.0","Uinta","UT","Duchesne","40.55","-110.32","01/30/2020 13:25:29"
"UVL124","124.0","Unionville","MI","Tuscola","43.613572","-83.359869","01/30/2020 13:25:29"
"VII423","423.0","Virgin Islands NP - Lind Pt","VI","St. John","18.3364","-64.7964","01/30/2020 13:25:29"
"VIN140","140.0","Vincennes","IN","Knox","38.740792","-87.484923","01/30/2020 13:25:29"
"VOY413","413.0","Voyageurs NP","MN","St. Louis","48.412518","-92.829225","01/30/2020 13:25:29"
"HVT424","424.0","Hawaii Volcanoes NP","HI","Hawaii","19.4197","-155.24","01/30/2020 13:25:29"
"SEK430","430.0","Sequoia NP - Ash Mountain","CA","Tulare","36.489469","-118.829153","01/30/2020 13:25:29"
"OLY421","421.0","Olympic NP","WA","Clallam","48.0975","-123.4256","01/30/2020 13:25:29"
"SEK402","402.0","Sequoia NP - Lookout Pt","CA","Tulare","36.4292","-118.7625","01/30/2020 13:25:29"
"WEL149","149.0","Wellston","MI","Wexford","44.2249","-85.8198","01/30/2020 13:25:29"
"WPA103","103.0","West Point A","NY","Orange","41.35","-74.05","01/30/2020 13:25:29"
"WPB104","104.0","West Point B","NY","Orange","41.35","-74.05","01/30/2020 13:25:29"
"WSP144","144.0","Wash. Crossing","NJ","Mercer","40.312303","-74.872663","01/30/2020 13:25:29"
"WST109","109.0","Woodstock","NH","Grafton","43.944519","-71.700787","01/30/2020 13:25:29"
"YEL408","408.0","Yellowstone NP","WY","Teton","44.565356","-110.400338","01/30/2020 13:25:29"
"YOS404","404.0","Yosemite NP - Turtleback Dome","CA","Mariposa","37.713251","-119.706196","01/30/2020 13:25:29"
"ABT147","147.0","Abington","CT","Windham","41.84046","-72.010368","01/30/2020 13:25:29"
"ALH157","157.0","Alhambra","IL","Madison","38.869001","-89.622815","01/30/2020 13:25:29"
"ALH257","257.0","Alhambra Collocated","IL","Madison","38.869001","-89.622815","01/30/2020 13:25:29"
"ANA115","115.0","Ann Arbor","MI","Washtenaw","42.416636","-83.90218","01/30/2020 13:25:29"
